Lista de Eventos - A MOSTRAR 200 REGISTOS
Tipo;"Data";"Fonte";"Categoria";"ID do Evento";"Utilizador";"Computador"
Informação;"2025-03-19 09:45:06";"Service Control Manager";"0 - (0)";"7040";"AUTORIDADE NT\SISTEMA";"BYOD-EDUARDO";"O tipo de inicialização do serviço Serviço de Transferência Inteligente em Segundo Plano foi alterado de iniciar automaticamente para iniciar demanda."
Aviso;"2025-03-19 09:34:35";"Microsoft-Windows-DistributedCOM";"0 - (0)";"10016";"BYOD-EDUARDO\eddua";"BYOD-EDUARDO";"As configurações de permissão específico do aplicativo não concedem permissão Local Ativação para o aplicativo de Servidor COM com CLSID 

{2593F8B9-4EAF-457C-B68A-50F6B8EA6B54}

 e APPID 

{15C20B67-12E7-4BB6-92BB-7AFF07997402}

 ao usuário BYOD-EDUARDO\eddua SID (S-1-5-21-1222459896-856544567-3389853670-1001) do endereço LocalHost (Usando LRPC) que está sendo executado no contêiner de aplicativos Não Disponível SID (Não Disponível). Essa permissão de segurança pode ser modificada com a ferramenta administrativa Serviços de Componentes."
Informação;"2025-03-19 09:32:59";"Volsnap";"0 - (0)";"33";"N/A";"BYOD-EDUARDO";"A cópia de sombra mais antiga do volume C: foi excluída para manter o uso de espaço em disco para cópias de sombra do volume C: abaixo do limite definido pelo usuário."
Informação;"2025-03-19 09:32:28";"Microsoft-Windows-Ntfs";"0 - (0)";"98";"AUTORIDADE NT\SISTEMA";"BYOD-EDUARDO";"Volume ?? (\Device\HarddiskVolumeShadowCopy434) está íntegro. Nenhuma ação é necessária."
Informação;"2025-03-19 09:31:37";"Microsoft-Windows-UserModePowerService";"0 - (10)";"12";"AUTORIDADE NT\SISTEMA";"BYOD-EDUARDO";"O processo C:\Windows\SysWOW64\powercfg.exe (ID do processo:10224) redefiniu o esquema de política de {381b4222-f694-41f0-9685-ff5bb260df2e} para {381b4222-f694-41f0-9685-ff5bb260df2e}"
Informação;"2025-03-19 09:31:37";"Microsoft-Windows-UserModePowerService";"0 - (10)";"12";"AUTORIDADE NT\SISTEMA";"BYOD-EDUARDO";"O processo C:\Windows\SysWOW64\powercfg.exe (ID do processo:2312) redefiniu o esquema de política de {381b4222-f694-41f0-9685-ff5bb260df2e} para {381b4222-f694-41f0-9685-ff5bb260df2e}"
Informação;"2025-03-19 09:30:33";"Service Control Manager";"0 - (0)";"7040";"AUTORIDADE NT\SISTEMA";"BYOD-EDUARDO";"O tipo de inicialização do serviço Serviço de Transferência Inteligente em Segundo Plano foi alterado de iniciar demanda para iniciar automaticamente."
Informação;"2025-03-19 09:29:12";"Volsnap";"0 - (0)";"33";"N/A";"BYOD-EDUARDO";"A cópia de sombra mais antiga do volume C: foi excluída para manter o uso de espaço em disco para cópias de sombra do volume C: abaixo do limite definido pelo usuário."
Informação;"2025-03-19 09:29:01";"Service Control Manager";"0 - (0)";"7040";"AUTORIDADE NT\SISTEMA";"BYOD-EDUARDO";"O tipo de inicialização do serviço Serviço de Transferência Inteligente em Segundo Plano foi alterado de iniciar automaticamente para iniciar demanda."
Aviso;"2025-03-19 09:26:21";"Microsoft-Windows-DistributedCOM";"0 - (0)";"10016";"AUTORIDADE NT\SISTEMA";"BYOD-EDUARDO";"As configurações de permissão específico do aplicativo não concedem permissão Local Iniciar para o aplicativo de Servidor COM com CLSID 

Windows.SecurityCenter.SecurityAppBroker

 e APPID 

Não Disponível

 ao usuário AUTORIDADE NT\SISTEMA SID (S-1-5-18) do endereço LocalHost (Usando LRPC) que está sendo executado no contêiner de aplicativos Não Disponível SID (Não Disponível). Essa permissão de segurança pode ser modificada com a ferramenta administrativa Serviços de Componentes."
Aviso;"2025-03-19 09:26:21";"Microsoft-Windows-DistributedCOM";"0 - (0)";"10016";"AUTORIDADE NT\SISTEMA";"BYOD-EDUARDO";"As configurações de permissão específico do aplicativo não concedem permissão Local Iniciar para o aplicativo de Servidor COM com CLSID 

Windows.SecurityCenter.WscBrokerManager

 e APPID 

Não Disponível

 ao usuário AUTORIDADE NT\SISTEMA SID (S-1-5-18) do endereço LocalHost (Usando LRPC) que está sendo executado no contêiner de aplicativos Não Disponível SID (Não Disponível). Essa permissão de segurança pode ser modificada com a ferramenta administrativa Serviços de Componentes."
Erro;"2025-03-19 09:26:08";"Service Control Manager";"0 - (0)";"7000";"N/A";"BYOD-EDUARDO";"Não foi possível iniciar o serviço Monitoramento de DF-e e integridade - SGBr Sistemas - WAHP49BFA1 devido ao seguinte erro: 

O sistema não pode encontrar o arquivo especificado."
Erro;"2025-03-19 09:26:08";"Service Control Manager";"0 - (0)";"7000";"N/A";"BYOD-EDUARDO";"Não foi possível iniciar o serviço Monitoramento de DF-e e integridade - SGBr Sistemas - VFVXVRSPWK devido ao seguinte erro: 

O sistema não pode encontrar o arquivo especificado."
Erro;"2025-03-19 09:26:08";"Service Control Manager";"0 - (0)";"7000";"N/A";"BYOD-EDUARDO";"Não foi possível iniciar o serviço Monitoramento de DF-e e integridade - SGBr Sistemas - MK6G9A7BGH devido ao seguinte erro: 

O sistema não pode encontrar o arquivo especificado."
Erro;"2025-03-19 09:26:08";"Service Control Manager";"0 - (0)";"7000";"N/A";"BYOD-EDUARDO";"Não foi possível iniciar o serviço Monitoramento de DF-e e integridade - SGBr Sistemas - KZNCME2FJ8 devido ao seguinte erro: 

O sistema não pode encontrar o arquivo especificado."
Erro;"2025-03-19 09:26:08";"Service Control Manager";"0 - (0)";"7000";"N/A";"BYOD-EDUARDO";"Não foi possível iniciar o serviço Monitoramento de DF-e e integridade - SGBr Sistemas - 65F4EF1LVV devido ao seguinte erro: 

O sistema não pode encontrar o arquivo especificado."
Aviso;"2025-03-19 09:26:07";"Microsoft-Windows-DistributedCOM";"0 - (0)";"10016";"BYOD-EDUARDO\eddua";"BYOD-EDUARDO";"As configurações de permissão específico do aplicativo não concedem permissão Local Ativação para o aplicativo de Servidor COM com CLSID 

{2593F8B9-4EAF-457C-B68A-50F6B8EA6B54}

 e APPID 

{15C20B67-12E7-4BB6-92BB-7AFF07997402}

 ao usuário BYOD-EDUARDO\eddua SID (S-1-5-21-1222459896-856544567-3389853670-1001) do endereço LocalHost (Usando LRPC) que está sendo executado no contêiner de aplicativos Não Disponível SID (Não Disponível). Essa permissão de segurança pode ser modificada com a ferramenta administrativa Serviços de Componentes."
Aviso;"2025-03-19 09:26:03";"Microsoft-Windows-DistributedCOM";"0 - (0)";"10016";"BYOD-EDUARDO\eddua";"BYOD-EDUARDO";"As configurações de permissão específico do aplicativo não concedem permissão Local Iniciar para o aplicativo de Servidor COM com CLSID 

Windows.SecurityCenter.WscCloudBackupProvider

 e APPID 

Não Disponível

 ao usuário BYOD-EDUARDO\eddua SID (S-1-5-21-1222459896-856544567-3389853670-1001) do endereço LocalHost (Usando LRPC) que está sendo executado no contêiner de aplicativos Não Disponível SID (Não Disponível). Essa permissão de segurança pode ser modificada com a ferramenta administrativa Serviços de Componentes."
Erro;"2025-03-19 09:26:02";"Service Control Manager";"0 - (0)";"7000";"N/A";"BYOD-EDUARDO";"Não foi possível iniciar o serviço Serviço do Google Update (gupdate) devido ao seguinte erro: 

O serviço não respondeu à requisição de início ou controle em tempo hábil."
Erro;"2025-03-19 09:26:02";"Service Control Manager";"0 - (0)";"7009";"N/A";"BYOD-EDUARDO";"Tempo limite esgotado (120000 milissegundos) ao aguardar a conexão do serviço Serviço do Google Update (gupdate)."
Aviso;"2025-03-19 09:25:59";"Microsoft-Windows-DistributedCOM";"0 - (0)";"10016";"BYOD-EDUARDO\eddua";"BYOD-EDUARDO";"As configurações de permissão específico do aplicativo não concedem permissão Local Iniciar para o aplicativo de Servidor COM com CLSID 

Windows.SecurityCenter.WscCloudBackupProvider

 e APPID 

Não Disponível

 ao usuário BYOD-EDUARDO\eddua SID (S-1-5-21-1222459896-856544567-3389853670-1001) do endereço LocalHost (Usando LRPC) que está sendo executado no contêiner de aplicativos Não Disponível SID (Não Disponível). Essa permissão de segurança pode ser modificada com a ferramenta administrativa Serviços de Componentes."
Aviso;"2025-03-19 09:25:56";"Microsoft-Windows-DistributedCOM";"0 - (0)";"10016";"BYOD-EDUARDO\eddua";"BYOD-EDUARDO";"As configurações de permissão específico do aplicativo não concedem permissão Local Iniciar para o aplicativo de Servidor COM com CLSID 

Windows.SecurityCenter.WscCloudBackupProvider

 e APPID 

Não Disponível

 ao usuário BYOD-EDUARDO\eddua SID (S-1-5-21-1222459896-856544567-3389853670-1001) do endereço LocalHost (Usando LRPC) que está sendo executado no contêiner de aplicativos Não Disponível SID (Não Disponível). Essa permissão de segurança pode ser modificada com a ferramenta administrativa Serviços de Componentes."
Aviso;"2025-03-19 09:24:38";"Microsoft-Windows-Kernel-Processor-Power";"0 - (7)";"37";"AUTORIDADE NT\SISTEMA";"BYOD-EDUARDO";"A velocidade do processador 7 no grupo 0 está sendo limitada pelo firmware do sistema. O processador está neste estado de desempenho reduzido há 71 segundos desde o último relatório."
Aviso;"2025-03-19 09:24:34";"Microsoft-Windows-DistributedCOM";"0 - (0)";"10016";"AUTORIDADE NT\SERVIÇO LOCAL";"BYOD-EDUARDO";"As configurações de permissão específico do aplicativo não concedem permissão Local Ativação para o aplicativo de Servidor COM com CLSID 

{6B3B8D23-FA8D-40B9-8DBD-B950333E2C52}

 e APPID 

{4839DDB7-58C2-48F5-8283-E1D1807D0D7D}

 ao usuário AUTORIDADE NT\SERVIÇO LOCAL SID (S-1-5-19) do endereço LocalHost (Usando LRPC) que está sendo executado no contêiner de aplicativos Não Disponível SID (Não Disponível). Essa permissão de segurança pode ser modificada com a ferramenta administrativa Serviços de Componentes."
Aviso;"2025-03-19 09:24:34";"Microsoft-Windows-DistributedCOM";"0 - (0)";"10016";"AUTORIDADE NT\SERVIÇO LOCAL";"BYOD-EDUARDO";"As configurações de permissão específico do aplicativo não concedem permissão Local Ativação para o aplicativo de Servidor COM com CLSID 

{6B3B8D23-FA8D-40B9-8DBD-B950333E2C52}

 e APPID 

{4839DDB7-58C2-48F5-8283-E1D1807D0D7D}

 ao usuário AUTORIDADE NT\SERVIÇO LOCAL SID (S-1-5-19) do endereço LocalHost (Usando LRPC) que está sendo executado no contêiner de aplicativos Não Disponível SID (Não Disponível). Essa permissão de segurança pode ser modificada com a ferramenta administrativa Serviços de Componentes."
Aviso;"2025-03-19 09:24:34";"Microsoft-Windows-DistributedCOM";"0 - (0)";"10016";"AUTORIDADE NT\SERVIÇO LOCAL";"BYOD-EDUARDO";"As configurações de permissão específico do aplicativo não concedem permissão Local Ativação para o aplicativo de Servidor COM com CLSID 

{6B3B8D23-FA8D-40B9-8DBD-B950333E2C52}

 e APPID 

{4839DDB7-58C2-48F5-8283-E1D1807D0D7D}

 ao usuário AUTORIDADE NT\SERVIÇO LOCAL SID (S-1-5-19) do endereço LocalHost (Usando LRPC) que está sendo executado no contêiner de aplicativos Não Disponível SID (Não Disponível). Essa permissão de segurança pode ser modificada com a ferramenta administrativa Serviços de Componentes."
Aviso;"2025-03-19 09:24:34";"Microsoft-Windows-DistributedCOM";"0 - (0)";"10016";"AUTORIDADE NT\SERVIÇO LOCAL";"BYOD-EDUARDO";"As configurações de permissão específico do aplicativo não concedem permissão Local Ativação para o aplicativo de Servidor COM com CLSID 

{6B3B8D23-FA8D-40B9-8DBD-B950333E2C52}

 e APPID 

{4839DDB7-58C2-48F5-8283-E1D1807D0D7D}

 ao usuário AUTORIDADE NT\SERVIÇO LOCAL SID (S-1-5-19) do endereço LocalHost (Usando LRPC) que está sendo executado no contêiner de aplicativos Não Disponível SID (Não Disponível). Essa permissão de segurança pode ser modificada com a ferramenta administrativa Serviços de Componentes."
Informação;"2025-03-19 09:24:32";"Microsoft-Windows-Winlogon";"0 - (1101)";"7001";"AUTORIDADE NT\SISTEMA";"BYOD-EDUARDO";"Notificação de Logon do Usuário para Programa de Aperfeiçoamento da Experiência do Usuário"
Informação;"2025-03-19 09:24:19";"Service Control Manager";"0 - (0)";"7040";"AUTORIDADE NT\SISTEMA";"BYOD-EDUARDO";"O tipo de inicialização do serviço Instalador de Módulos do Windows foi alterado de iniciar automaticamente para iniciar demanda."
Informação;"2025-03-19 09:24:16";"Microsoft-Windows-Ntfs";"0 - (0)";"98";"AUTORIDADE NT\SISTEMA";"BYOD-EDUARDO";"Volume ?? (\Device\HarddiskVolumeShadowCopy431) está íntegro. Nenhuma ação é necessária."
Informação;"2025-03-19 09:23:56";"Microsoft-Windows-TPM-WMI";"0 - (0)";"1025";"AUTORIDADE NT\SISTEMA";"BYOD-EDUARDO";"O TPM foi provisionado com êxito e agora está pronto para uso."
Informação;"2025-03-19 09:23:55";"Microsoft-Windows-TPM-WMI";"0 - (0)";"1282";"AUTORIDADE NT\SISTEMA";"BYOD-EDUARDO";"O identificador de dispositivo TBS foi gerado."
Informação;"2025-03-19 09:23:54";"TPM";"0 - (0)";"18";"AUTORIDADE NT\SISTEMA";"BYOD-EDUARDO";"Este evento dispara a execução da verificação de status/provisionamento do TPM (Trusted Platform Module)."
Informação;"2025-03-19 09:23:54";"Service Control Manager";"0 - (0)";"7026";"N/A";"BYOD-EDUARDO";"O(s) seguinte(s) driver(s) de início do sistema ou de inicialização não foram carregados: 

dam

googledrivefs31357

SentinelDeviceControl

WinSetupMon"
Informação;"2025-03-19 09:23:50";"Service Control Manager";"0 - (0)";"7040";"AUTORIDADE NT\SISTEMA";"BYOD-EDUARDO";"O tipo de inicialização do serviço TrustedInstaller foi alterado de iniciar demanda para iniciar automaticamente."
Informação;"2025-03-19 09:23:44";"Microsoft-Windows-WLAN-AutoConfig";"0 - (0)";"10001";"AUTORIDADE NT\SISTEMA";"BYOD-EDUARDO";"Módulo de Extensibilidade de WLAN iniciado com êxito.



Caminho do Módulo: C:\WINDOWS\system32\IntelIHVRouter04.dll

"
Informação;"2025-03-19 09:23:44";"IntelHaxm";"Nenhuma - (0)";"4";"N/A";"BYOD-EDUARDO"
Informação;"2025-03-19 09:23:45";"Microsoft-Windows-WAS";"0 - (0)";"5211";"N/A";"BYOD-EDUARDO";"O Serviço de Ativação de Processos do Windows (WAS) foi iniciado com o modo 'Classic' usando o 'ConfigurationSystem'"
Informação;"2025-03-19 09:23:44";"Microsoft-Windows-WLAN-AutoConfig";"0 - (0)";"4000";"AUTORIDADE NT\SISTEMA";"BYOD-EDUARDO";"Serviço de Configuração Automática de WLAN iniciado com êxito.

"
Informação;"2025-03-19 09:23:43";"Microsoft-Windows-DHCPv6-Client";"Service State Event - (4)";"51046";"AUTORIDADE NT\SERVIÇO LOCAL";"BYOD-EDUARDO";"O serviço do cliente DHCPv6 foi iniciado"
Informação;"2025-03-19 09:23:43";"Microsoft-Windows-Dhcp-Client";"Evento do Estado do Serviço - (4)";"50036";"AUTORIDADE NT\SERVIÇO LOCAL";"BYOD-EDUARDO";"O serviço do cliente DHCPv4 foi iniciado"
